x y S
0.0 0.0 41
2188.5157632818496 90.76907499589689 74
0.0 0.0 68
2040.43922967996 480.65802997358196 19
1513.3328989531083 685.2994224242703 11
1560.0789481828929 703.5917819286408 22
0.0 0.0 89
0.0 0.0 37
1776.880271327453 -1.747480589783446 36
2184.898161791106 -34.66991024139911 99
2289.816350351952 -386.6986685210746 64
2549.7567303548008 -574.4305872681665 72
0.0 0.0 62
0.0 0.0 9
1692.0903291282239 -349.7053737152273 18
2194.409275601027 -272.788204434857 18
0.0 0.0 20
0.0 0.0 58
0.0 0.0 92
2605.852755956421 -689.0490554543443 26
1977.670216237665 -3092.2675795724826 96
