x y S
2617.1335361976926 2586.0797808270545 99
2519.5523348819283 2482.072621587007 87
2457.198620570973 2387.388271909119 61
0.0 0.0 16
0.0 0.0 97
2092.4447331497804 2416.38524989207 31
2402.6404861684946 2342.463906661047 52
2448.821896961737 2326.3335773869 15
0.0 0.0 9
2399.8223730860013 1979.20029241155 13
2412.023886447274 1865.5898806378798 68
2331.361698133616 1721.5311073005269 30
1644.248455618508 1635.7048959103984 1
0.0 0.0 28
0.0 0.0 29
0.0 0.0 51
1833.0805102525649 2040.4482558940008 88
2431.657689570685 1930.6229427326462 55
2321.1129668065714 2396.5788025956817 10
1615.6026034755855 1562.9230644658396 68
1765.7515356725255 2075.712191195957 71
1635.714750389808 1525.663425197581 62
1874.6888684591866 1640.6945279044978 46
2074.019111894039 1663.7760359960062 21
2250.0737448751674 1340.5770902143624 78
2180.235722516188 1025.0004781797097 36
2143.371883606597 816.8748813155494 93
0.0 0.0 7
0.0 0.0 92
0.0 0.0 79
2305.958409174939 1413.6086953558204 2
2311.5638804888576 1586.3366554808401 86
0.0 0.0 50
1703.5049455918752 735.311967119757 10
1913.0029524002998 772.0637081707234 87
2113.3217418054764 746.9717158660137 90
2126.3989776656053 709.7703424981534 36
2190.2456617810813 548.6313045648742 28
2185.7489935140197 458.6421756333582 54
2281.9292017618077 301.55557985339357 2
0.0 0.0 7
